標題,地址,屋齡,類型,建坪,主+陽,格局,樓層,車位,總價(萬),編號
快樂山莊高樓★景觀★車位快樂山莊,台北市士林區中山北路七段,39.8年,華廈,88.34,63.8,4房2廳3衛,7樓/7樓,坡道平面車位,5280,4473AA
公館美屋台大寰宇堂１４樓台大寰宇堂,台北市中正區羅斯福路四段,10.9年,大樓,82.61,47.21,3房2廳3衛1室,14樓/15樓,兩個以上車位,8988,78068Z
聯上天母帝景露台大戶聯上天母,台北市士林區天母北路,5.3年,大樓,130.72,59.16,4房4廳4衛,11樓/24樓,兩個以上車位,12688,93015W
璞園－高樓景觀美邸璞園偕樂,台北市內湖區金龍路,10.4年,大樓,89.77,44.29,3房2廳2衛,10樓/11樓,兩個以上車位,8500,3165FZ
店長推薦★南港公園旁高樓南港國宅,台北市南港區福德街,27.4年,大樓,38.86,23.72,3房2廳1衛,17樓/18樓,無車位,2868,2995PZ
太子華威高樓磅礡美景大戶太子華威,台北市士林區至誠路一段,7.3年,大樓,153.32,71.58,1廳,10樓/14樓,兩個以上車位,13800,2819KS
☀️信義區三房美寓,台北市信義區吳興街,38.7年,公寓,31.41,28.39,3房2廳1.5衛,4樓/5樓,無車位,1880,87376E
首都帝景美裝坡平車位首都帝景,台北市中正區水源路,7.6年,大樓,35.98,16.16,2房2廳1衛,4樓/13樓,坡道平面車位,2988,9435WK
藍線捷運站旁電梯３房忠孝東路六段華廈,台北市南港區忠孝東路六段,39.8年,華廈,40.38,37.28,3房2廳2衛,5樓/7樓,無車位,3980,4613LQ
新☆雙子星美妝兩房車位延平臻品,台北市大同區延平北路一段,11.7年,華廈,46.67,22.02,2房2廳1衛,7樓/7樓,升降平面車位,3680,4310XQ
華熊名邸｜遠眺學府綠意基泰台大,台北市大安區羅斯福路三段,12.8年,大樓,112.58,55.24,4房2廳3衛,14樓/19樓,坡道平面車位,12800,7906AS
仁愛＋雲海觀景雅致尊榮宅仁愛A+,台北市大安區大安路一段,17.0年,大樓/辦公,20.24,12.18,2房1廳2衛(含加蓋1房1衛),11樓/12樓,無車位,3238,5334RF
小巨蛋捷運美裝三房車位松山新城乙標第七...,台北市松山區健康路,24.2年,大樓,48.14,29.17,3房2廳2衛,6樓/12樓,無車位,5288,9990NL
政大雅敘苑電梯三房車位雅敘苑,台北市文山區政大一街,22.8年,華廈,43.96,30.72,3房2廳1衛,3樓/7樓,坡道機械車位,2480,3374QV
古亭國中◈二樓美寓,台北市中正區中華路二段,46.9年,公寓,30.83,30.83,3房2廳2衛,2樓/5樓,無車位,1880,9698AQ
忠孝敦化綠景四面採光,台北市大安區敦化南路一段,44.6年,華廈,57.67,49.9,8房8衛,3樓/7樓,無車位,5980,3614GP
圓山小資精緻美屋,台北市大同區哈密街,45.7年,公寓,15.5,15.5,1房2廳1衛,5樓/5樓,無車位,1059,0530PZ
近未來萬大捷運裝潢美寓,台北市萬華區長泰街,46.2年,公寓,23.95,22.63,4房2廳3衛(含加蓋1房1衛),4樓/4樓,無車位,1498,1840TX
新東京宅精品宅☆歡迎賞屋新東京宅,台北市中山區南京東路二段,15.1年,大樓/套房,26.01,9.2,1房1廳1衛,6樓/18樓,升降平面車位,2138,7231RZ
劍潭黃金三樓美寓,台北市士林區通河街,50.9年,公寓,31.2,31.2,3房2廳2衛,3樓/4樓,無車位,1999,4188UY
【靜謐北捷】邊間山景晴居,台北市北投區溫泉路,55.6年,公寓,29.56,29.56,3房3廳2衛1室(含加蓋2房1廳1衛1室),4樓/4樓,無車位,1598,3555GD
可看古亭捷運河景電梯四房銀河大廈,台北市中正區水源路,46.6年,華廈/辦公,53.39,47.85,4房2廳2衛,3樓/10樓,無車位,3380,8804XC
重劃激賞‧邊間２房大空間芬第LIFE,台北市南港區向陽路,17.0年,華廈,41.56,20.26,2房2廳1衛1室,6樓/9樓,坡道平面車位,3198,4263VW
［捷運］興隆美妝庭院一樓,台北市文山區興隆路三段,42.2年,公寓/辦公,31.14,21.32,2房2廳1衛2室(含加蓋1室),1樓/5樓,無車位,1980,4258PD
勤美璞真芳鄰。電梯雙車位森活典範,台北市大安區新生南路一段,22.1年,華廈,74.07,47.26,5房2廳3衛1室(含加蓋1房1廳),5樓/7樓,兩個以上車位,8988,91514N
森之林綠意２房＋平面車位森之林,台北市內湖區內湖路三段,31.2年,大樓,37.38,20.86,2房2廳1衛,5樓/20樓,坡道平面車位,2420,1309PK
萬芳商圈再興青山一樓店辦再興青山,台北市文山區興隆路三段,29.7年,辦公/店面/大樓,50.98,30.29,2房2廳2衛,1樓/12樓,兩個以上車位,2688,8580SS
【ＶＲ】愛眉山莊池畔美屋愛眉山莊,台北市文山區辛亥路四段,22.1年,大樓,16.85,11.43,1房1廳1衛,3樓/14樓,無車位,1258,6167TS
優質電梯三房成家首選觀星台北,台北市文山區木柵路二段,29.0年,大樓,34.6,27.25,3房2廳2衛,4樓/17樓,無車位,1968,4284RG
誠售首購捷運電梯,台北市中山區新生北路三段,31.0年,辦公,11.13,7.01,1房1廳1衛,6樓/10樓,無車位,888,9532UL
主推⭐首泰聖荷西大戶聖荷西一期,台北市中山區堤頂大道二段,22.0年,大樓,119.21,59.2,5房2廳3衛,4樓/11樓,兩個以上車位,10180,38132A
中正學區設籍金雞母,台北市大安區杭州南路二段,59.2年,公寓,34.36,32.93,6房6衛,3樓/4樓,無車位,3750,2050WH
金阪神套房金阪神大樓,台北市文山區景興路,29.8年,大樓,13.73,6.78,1房1衛,10樓/24樓,無車位,998,8040KU
面公園昇陽之道精美豪邸昇陽之道,台北市內湖區成功路四段,20.3年,大樓,70.95,38.62,3房2廳2衛1室,5樓/17樓,坡道平面車位,7380,3738CT
全新裝潢富春居三房富春居,台北市士林區中山北路七段,36.2年,華廈,54.57,37.71,3房2廳3衛1室,4樓/7樓,無車位,4188,0629VJ
鄰近內湖捷運站低總好屋,台北市內湖區成功路三段,44.9年,公寓,36.5,36.5,3房2廳2衛,5樓/5樓,無車位,1998,0527XH
王者鄉大空間好規劃精美宅王者鄉,台北市文山區仙岩路,30.5年,大樓,23.59,19.53,1房1廳1衛,7樓/11樓,無車位,1880,2229NY
清新森活小資電梯兩房觀星台北,台北市文山區木柵路二段,29.0年,大樓,22.99,17.13,2房2廳1衛,5樓/17樓,無車位,1350,6832ZG
【長安一品】露臺豪邸長安一品,台北市中山區長安東路二段,13.8年,大樓,75.69,40.46,4房2廳2衛,3樓/15樓,坡道平面車位,7950,7085GX
天母豪邸★維多利亞盛宴★維多利亞盛宴,台北市士林區忠誠路二段,21.6年,大樓,113.7,60.35,4房2廳2衛1室,2樓/12樓,兩個以上車位,9380,0337DQ
國品近捷運雙拼採光大三房國品大樓,台北市大安區和平東路三段,41.3年,大樓,33.67,32.33,3房2廳2衛,6樓/12樓,無車位,3398,4657HM
面敦南樹海美景高樓敦南大廈,台北市大安區敦化南路一段,30.2年,華廈,66.62,40.99,3房2廳2衛1室,7樓/10樓,升降平面車位,8188,0968ZM
信義路ＳＲＣ信義愛樂信義愛樂(舊愛樂...,台北市大安區信義路二段,23.0年,大樓,97.67,54.66,4房2廳3衛(含加蓋1房),11樓/14樓,坡道平面車位,11500,4152UZ
大巨蛋旁邊間一樓,台北市大安區延吉街,49.0年,店面/公寓,21.56,17.94,2廳1衛3室,1樓/4樓,無車位,4988,1010PS
⭐一層一戶。捷運美景宅,台北市中山區北安路,7.6年,華廈,105.27,35.39,4房4廳3衛(含加蓋2廳),7樓/7樓,兩個以上車位,9900,2378NM
葫洲捷運美宅附坡平車位麗湖WYNN,台北市內湖區成功路五段,17.4年,大樓,41.75,17.82,2房2廳2衛2室(含加蓋2室),10樓/12樓,坡道平面車位,3088,2504LQ
大同世界邊間３面採光４房大同世界二期,台北市大同區敦煌路,15.9年,大樓,53.55,36.87,4房2廳2衛2室,3樓/15樓,無車位,4980,9379NY
皇后大道公爵．景觀美宅皇后大道-公爵區,台北市中山區敬業三路,24.9年,華廈,109.38,60.07,4房2廳3衛3室(含加蓋1室),5樓/8樓,兩個以上車位,11850,8010NF
誠意售屋仁愛三普高樓仁愛三普,台北市大安區仁愛路四段,45.6年,大樓,47.66,42.39,3房2廳2衛,8樓/14樓,無車位,5899,51275M
大推超值優選龍門泰極四房,台北市大安區和平東路二段,12.7年,華廈,75.49,35.78,4房2廳2衛,2樓/9樓,兩個以上車位,7880,31693U
㊣東騰千里鋼骨高樓美妝戶東騰千里,台北市中山區建國北路二段,16.0年,大樓,95.11,45.06,4房2廳2衛,11樓/15樓,兩個以上車位,9900,05300T
獨家～首泰三悉磊若臻邸首泰三悉-磊若,台北市中山區樂群二路,8.1年,華廈,88.01,47.47,3房2廳2衛1室,9樓/10樓,坡道平面車位,12500,1193MR
太子１０１景觀高樓太子101,台北市信義區基隆路一段,17.9年,大樓,54.33,27.2,3房2廳2衛,7樓/12樓,坡道平面車位,5080,7384HZ
忠順大院二期頂峰之美忠順大院二期,台北市文山區忠順街二段,5.6年,大樓,54.33,26.89,3房2廳2衛,14樓/14樓,坡道平面車位,5388,4306XP
就看這間明德澄品澄品,台北市北投區致遠一路一段,17.8年,華廈,57.2,39.1,4房4廳3衛1室,8樓/9樓,無車位,4976,0288TS
❤️誠售❤️西門低總公寓,台北市萬華區環河南路一段,51.6年,公寓/辦公,18.62,18.62,2房2廳1衛,3樓/5樓,無車位,950,0097RZ
附中挑高邊間美居附車位成德菁選集,台北市大安區信義路三段,18.6年,大樓/辦公,18.95,9.14,1房1廳1衛,2樓/14樓,塔式車位,2380,4258CD
✨內湖大直首購救星１F✨,台北市內湖區內湖路一段,1.2年,華廈,18.89,5.38,1房1廳1衛,1樓/6樓,升降機械車位,1898,0350FU
現代極簡大安ＶＩＳＩＯＮ大安VISION,台北市大安區光復南路,8.4年,大樓,39.16,19.64,2房2廳1衛,11樓/14樓,坡道機械車位,4990,8283UR
新案～萬隆捷運電梯三房統成歐成,台北市文山區羅斯福路五段,43.9年,華廈,34.78,28.53,3房2廳1衛,5樓/7樓,無車位,2680,2650NZ
稀有庭院陽明賞一樓陽明賞,台北市北投區西安街二段,19.9年,大樓,51.6,26.89,3房2廳2衛,1樓/13樓,坡道平面車位,4988,3145LQ
新潤高樓美景裝潢戶新潤和峰,台北市北投區磺港路,11.3年,大樓,90.48,44.13,3房2廳3衛1室,8樓/14樓,兩個以上車位,6780,2083QK
常殷泊美百萬裝潢常殷泊美,台北市北投區三合街一段,3.2年,華廈,57,16.93,1房2廳1衛,6樓/8樓,兩個以上車位,3600,4657BM
長虹凌雲近文德站四房大戶長虹凌雲,台北市內湖區文德路,15.8年,大樓,113.75,52.39,4房2廳3衛,3樓/17樓,兩個以上車位,9880,8935CP
敦南觀止三房雙車位敦南觀止,台北市文山區福興路,13.1年,大樓,63.71,24.02,3房2廳2衛,12樓/14樓,兩個以上車位,3480,9026NX
｛稀有｝拾陸樓面１０１新川普,台北市信義區信義路五段,16.3年,大樓,39.8,18.32,1房1廳2衛1室,16樓/19樓,坡道平面車位,3950,4957NT
［日升月恆］非你莫屬日升月恆,台北市南港區經貿二路,10.8年,大樓,204.35,115.57,5房2廳5衛3室,19樓/21樓,兩個以上車位,18300,5290QK
台北摩根朝北高樓美宅台北摩根,台北市松山區南京東路五段,16.5年,大樓,17.33,10.81,1房1廳1衛,10樓/18樓,無車位,1960,6627KB
稀有釋出松山新城四房松山新城甲標第三...,台北市松山區健康路,28.2年,大樓,60.78,37.66,4房2廳2衛,2樓/15樓,無車位,5400,2613KZ
北投捷運－國泰景觀三房國泰華威豐年,台北市北投區大業路,2.0年,大樓,50.49,25.77,3房2廳2衛,18樓/24樓,坡道平面車位,4980,5489VP
晴光商圈★捷運景觀美屋浪琴花苑,台北市中山區雙城街,35.1年,大樓/辦公,25.11,17.75,1房2廳1衛1室,9樓/16樓,無車位,2478,6087SQ
★現代之藝★稀有豪邸現代之藝,台北市信義區松仁路,24.6年,華廈,125.2,69.36,3房2廳2衛,6樓/9樓,兩個以上車位,16500,8485BL
湖景薈萃璞真水寓四房大戶璞真水寓,台北市內湖區內湖路二段,9.0年,華廈,86.7,58.03,4房2廳3衛,5樓/10樓,兩個以上車位,13600,3386KS
君臨碧湖璞真水寓曠世巨作璞真水寓,台北市內湖區內湖路二段,9.0年,華廈,87.05,58.27,3房2廳3衛1室,8樓/10樓,兩個以上車位,13600,7023UB
【ＶＲ】低公設比捷運三房麗景天廈,台北市文山區興隆路二段,37.2年,華廈,37.54,27.53,3房2廳2衛,4樓/7樓,無車位,2580,3782DW
【新接】四四東村Ａ區四四東村A基地,台北市信義區吳興街,24.1年,大樓,40.87,26.19,3房2廳2衛,6樓/13樓,坡道平面車位,4200,1499NG
東西匯稀有兩房車位東西匯,台北市中山區松江路,10.2年,大樓,37.79,18.71,2房2廳1衛,2樓/17樓,坡道平面車位,4988,5378VR
涵碧園綠景邊間四房涵碧園,台北市文山區萬芳路,17.3年,大樓,70.85,38.39,4房2廳2衛1室,4樓/15樓,坡道平面車位,5700,9137QV
大器悅榕莊明亮高樓悅榕莊,台北市中山區樂群三路,15.3年,辦公/大樓,133,59.34,3房2廳3衛,8樓/11樓,兩個以上車位,15000,9936DX
帝寶稀有小坪數車位香榭帝寶,台北市南港區重陽路,3.7年,大樓,22.21,9.63,1房1廳1衛,10樓/14樓,坡道平面車位,2188,7226AC
金華學區極品靜巷電梯２房仁愛竹隱,台北市中正區臨沂街,17.3年,華廈,45.51,21.71,2房2廳1衛,4樓/6樓,塔式車位,4586,9684YG
明湖國宅高樓層四房邊間明湖國宅（山下）,台北市內湖區康寧路三段,30.4年,華廈,39.58,28.93,4房2廳2衛,8樓/10樓,無車位,3180,7347AH
明湖國宅超Ａ近捷運美裝明湖國宅（山下）,台北市內湖區康寧路三段,30.9年,華廈,36.09,26.92,3房2廳2衛,7樓/7樓,無車位,2780,0571YT
宏普新邑高樓奢華裝潢宏普新邑,台北市北投區三合街一段,10.3年,華廈,49.08,23.22,1房2廳2衛2室,6樓/9樓,坡道平面車位,3800,8817FD
國賓官邸巔峰高樓遠景國賓官邸,台北市內湖區成功路二段,10.3年,大樓,109.4,56.82,4房2廳3衛,14樓/14樓,兩個以上車位,8688,6221YR
全陽鋼骨２７０度山河景觀,台北市士林區中山北路五段,1.1年,大樓,83.54,44.27,4房2廳2衛,16樓/18樓,坡道平面車位,9980,6458DJ
✨信義靜巷美妝三房,台北市信義區吳興街,38.0年,公寓,27.49,27.49,3房2廳1衛,3樓/5樓,無車位,1980,8171HC
敦南林蔭樹海景觀寬闊榮耀敦南,台北市大安區和平東路三段,21.6年,大樓/辦公,78.94,42.16,3房2廳2衛1室(含加蓋1室),16樓/19樓,坡道平面車位,7580,3475BN
太子美麗殿．大坪數雙車位太子美麗殿,台北市中山區敬業一路,21.0年,辦公,96.63,50.29,4房2廳2衛1室(含加蓋1室),6樓/10樓,兩個以上車位,11072,0661AJ
景涵超美景觀戶景涵,台北市文山區光輝路,19.5年,華廈,39.88,24.4,3房2廳2衛,8樓/10樓,無車位,3136,3144TM
碧湖樹梢湖景平面車位濱湖皇家,台北市內湖區內湖路二段,42.9年,大樓,67.38,57.69,4房2廳3衛,4樓/12樓,無車位,5280,4837HU
文匯首選華固文匯,台北市南港區研究院路二段,14.6年,大樓,75.27,39.19,3房2廳2衛1室,4樓/15樓,坡道平面車位,4880,5507GB
仁愛百吉豪邸樹海景觀之星百吉,台北市大安區仁愛路四段,38.8年,大樓,89.18,67.39,6房2廳3衛,5樓/17樓,坡道平面車位,13888,4539GQ
昭揚天際景觀Ａ棟６樓昭揚天際,台北市北投區承德路七段,1.3年,大樓,71.35,38.34,3房2廳2衛,6樓/19樓,坡道平面車位,6388,3193KK
敦南御所◆高樓樹海美妝敦南御所,台北市大安區敦化南路一段,5.1年,大樓,58.68,31.34,3房2廳2衛1室,11樓/23樓,坡道平面車位,9450,6120YG
士林運動中心電梯三房車位麒麟門,台北市士林區士商路,17.9年,華廈,58.04,27.12,3房2廳2衛,2樓/7樓,兩個以上車位,4980,4602HQ
雙湖匯君臨天下雙湖匯/双湖滙,台北市內湖區成功路四段,7.6年,大樓,137.51,73.44,4房2廳2.5衛4室,29樓/29樓,兩個以上車位,18000,6055HR
德運京鼎景觀豪邸◆大器德運京鼎,台北市中山區南京東路二段,7.8年,大樓,66.91,39.5,4房2廳2衛1室,10樓/24樓,坡道平面車位,8898,4845CD
《大直名宅》國美大真國美大真,台北市中山區樂群二路,10.8年,大樓,178.74,89.57,4房2廳3.5衛2室,5樓/11樓,兩個以上車位,25388,9235ZB
信義御邸◆公園高樓景觀信義御邸,台北市大安區信義路二段,6.1年,大樓,144.19,69.09,2廳3衛,21樓/21樓,兩個以上車位,23999,7520HD
首相●忠誠路景觀美豪邸首相一期,台北市士林區忠誠路一段,16.4年,華廈,67.03,40.39,3房2廳2衛1室,7樓/7樓,坡道平面車位,6988,5615LL
後山埤捷運４房＋平面車位互助典藏,台北市南港區同德路,17.4年,大樓,72.24,42.9,4房2廳2衛,1樓/14樓,坡道平面車位,6980,5789PK
水岫高樓美景三房水岫,台北市中正區重慶南路三段,13.6年,大樓,49.73,30.02,3房2廳2衛,10樓/15樓,坡道機械車位,4360,3213GQ
和平大苑全新裝潢和平大苑,台北市大安區金山南路二段,10.8年,大樓,21.4,13.33,1房1廳1衛,2樓/14樓,無車位,3860,7729RL
家居之最稀有磺溪豪邸家居之最,台北市士林區中山北路六段,22.6年,大樓,105.79,47.07,3房2廳2衛1室,5樓/13樓,兩個以上車位,9500,7029JN
新川普●尊貴府邸一房新川普,台北市信義區信義路五段,16.3年,大樓,14.47,9.13,1房1廳1衛,4樓/19樓,無車位,1800,6332TD
璞園麗山學區邊間三房璞水瑟,台北市內湖區麗山街,14.0年,大樓,62.44,30.28,3房2廳2衛,4樓/14樓,兩個以上車位,5680,5357VN
《請進士林》文林麗緻文林麗緻,台北市士林區大西路,24.7年,華廈,81.49,39.86,4房2廳2衛(含加蓋1房),2樓/9樓,兩個以上車位,5788,3021KR
正永康人潮金店＋新生國小,台北市大安區永康街,49.4年,店面/辦公,21.35,18.93,1廳1衛1室(含加蓋1室),1樓/4樓,無車位,11742,3682HD
『典雅』樹山丘成家兩房樹山丘2-捷運桃...,台北市北投區稻香路,4.0年,華廈,37.57,15.3,2房2廳1衛,3樓/5樓,坡道平面車位,2350,1128FZ
大直忠泰風格忠泰風格,台北市中山區明水路,18.1年,大樓,82.89,44.09,3房2廳2衛,3樓/15樓,兩個以上車位,9800,0678PC
【靜隱天母】電梯裝潢美居甲桂林,台北市北投區中山北路七段,41.1年,華廈,36.34,34.01,3房2廳2衛1室,3樓/7樓,無車位,2038,9992NX
政大庭院小豪邸史丹佛,台北市文山區政大二街,15.2年,華廈,23.42,10.11,1房1廳1衛1室(含加蓋1室),1樓/5樓,坡道機械車位,1580,5126NG
值得擁有翔譽高樓邊間兩房翔譽之心,台北市南港區興中路,13.0年,大樓,27.89,15.66,2房2廳1衛,20樓/25樓,無車位,3200,0547ZZ
【敦南安和樹海】三房電梯華暉名廈,台北市大安區安和路二段,41.9年,華廈,35.24,29.95,3房2廳2衛,5樓/7樓,無車位,4288,3182CB
就看這間基泰明德基泰明德,台北市北投區懷德街,15.1年,大樓,80.28,38.61,3房2廳2衛1室(含加蓋1室),6樓/12樓,兩個以上車位,6980,8866QD
力麒縉紳★高樓靜巷豪邸★力麒縉紳,台北市中山區松江路,16.9年,大樓,69.57,36.65,4房2廳2衛1室,13樓/14樓,兩個以上車位,7398,4355JY
首泰大方高樓４房車位首泰大方,台北市南港區重陽路,9.5年,大樓,76.04,37.25,4房2廳2衛,10樓/15樓,坡道平面車位,6680,1325LN
『珍稀』泰然璞真靜隱而生泰然璞真,台北市大安區潮州街,11.0年,大樓,213.27,95.17,1房3廳5衛,11樓/16樓,兩個以上車位,22988,0069FW
聯上天母面公園四房雙車位聯上天母,台北市士林區天母北路,5.3年,大樓,97.73,42.72,4房2廳3衛,8樓/24樓,兩個以上車位,8988,1315LZ
㊣松山翔譽１０１三面採光翔譽101,台北市松山區八德路四段,11.8年,大樓,24.78,10.91,1房1廳1衛,7樓/13樓,坡道機械車位,2295,6504JW
力麒３房綠意溫馨２樓力麒青春,台北市南港區東明街,16.9年,大樓,46.75,23.64,3房2廳2衛,2樓/13樓,坡道平面車位,4380,3817CP
市府微風新寶高樓美景新寶大樓,台北市信義區基隆路一段,19.7年,大樓/辦公,30.14,19.52,1房1廳1衛,11樓/13樓,無車位,3480,6498DH
文林苑高樓美屋文林苑,台北市士林區文林路,9.4年,大樓,58.82,31.34,3房2廳2衛1室,9樓/15樓,坡道平面車位,5488,2899NK
